HSC1_1	HSC1_13	HSC1_14	HSC1_2	HSC1_3	HSC1_4	HSC1_6	HSC1_7	HSC1_8	HSC1_9	HSC3_10	HSC3_12	HSC3_13	HSC3_14	CMP_4	CMP_5	CMP_6	CMP_7	MEP_1	MEP_2	MEP_3	MEP_4	MEP_5	MEP_6	MEP_7	MEP_8	MEP_9	ERY1_3	ERY1_4	ERY1_5	ERY1_6	ERY1_7	ERY1_8	ERY1_9	ERY2_3	ERY2_4	ERY2_5	ERY2_6	ERY2_7	ERY2_8	ERY2_9	ERY3_3	ERY3_4	ERY3_5	ERY3_6	ERY3_7	ERY3_8	ERY4_3	ERY4_4	ERY4_5	ERY4_6	ERY4_7	ERY4_8	ERY4_9	ERY5_3	ERY5_5	ERY5_6	ERY5_7	ERY5_8	ERY5_9	MEGA1_2	MEGA1_3	MEGA1_4	MEGA1_5	MEGA1_6	MEGA1_7	MEGA2_2	MEGA2_3	MEGA2_4	MEGA2_5	MEGA2_6	MEGA2_7	GMP_4	GMP_5	GMP_7	GMP_9	GRAN1_2	GRAN1_3	GRAN1_4	GRAN1_5	GRAN1_6	GRAN2_2	GRAN2_4	GRAN2_5	GRAN2_6	GRAN3_3	GRAN3_4	GRAN3_5	GRAN3_6	MONO1_1	MONO1_2	MONO1_3	MONO1_4	MONO2_1	MONO2_2	MONO2_3	MONO2_4	MONO2_5	EOS2_1	EOS2_2	EOS2_3	EOS2_4	EOS2_5	BASO1_3	BASO1_4	BASO1_5	BASO1_6	BASO1_7	BASO1_8	DENDA2_1	DENDA2_2	DENDA2_3	DENDA2_4	DENDA2_5	DENDA1_1	DENDA1_2	DENDA1_3	DENDA1_4	DENDA1_5	PREBCELL2_1	PREBCELL2_3	PREBCELL2_4	PREBCELL2_6	PREBCELL3_1	PREBCELL3_3	PREBCELL3_4	PREBCELL3_5	PREBCELL3_6	BCELLA1_1	BCELLA1_2	BCELLA1_3	BCELLA1_4	BCELLA1_5	BCELLA2_1	BCELLA2_2	BCELLA2_3	BCELLA2_4	BCELLA2_5	BCELLA3_1	BCELLA3_2	BCELLA3_3	BCELLA3_4	BCELLA3_5	BCELLA4_1	BCELLA4_2	BCELLA4_3	BCELLA4_4	BCELLA4_5	NKA1_1	NKA1_2	NKA1_4	NKA1_5	NKA2_1	NKA2_2	NKA2_3	NKA2_4	NKA2_5	NKA3_1	NKA3_2	NKA3_3	NKA3_4	NKA3_5	NKA4_2	NKA4_3	NKA4_4	NKA4_5	TCELLA1_11	TCELLA1_5	TCELLA1_6	TCELLA1_7	TCELLA2_10	TCELLA2_11	TCELLA2_3	TCELLA2_5	TCELLA2_6	TCELLA2_7	TCELLA2_8	TCELLA3_11	TCELLA3_3	TCELLA3_5	TCELLA3_6	TCELLA3_7	TCELLA3_8	TCELLA4_10	TCELLA4_11	TCELLA4_3	TCELLA4_5	TCELLA4_6	TCELLA4_7	TCELLA4_8	TCELLA6_10	TCELLA6_11	TCELLA6_3	TCELLA6_5	TCELLA6_6	TCELLA6_7	TCELLA6_8	TCELLA7_10	TCELLA7_11	TCELLA7_3	TCELLA7_5	TCELLA7_6	TCELLA7_7	TCELLA7_8	TCELLA8_10	TCELLA8_11	TCELLA8_3	TCELLA8_5	TCELLA8_6	TCELLA8_7	TCELLA8_8
KYNU	-0.95647	-1.21917	-1.62097	-1.17967	-0.92967	-0.34857	-0.61757	-0.60927	-0.78917	-1.68627	-0.96527	-1.12147	-0.96547	-1.39427	0.03583	0.11243	-0.70487	-0.01667	-1.07037	-1.28077	-1.72387	-0.68937	-0.80907	-1.22307	0.17713	-0.79097	-0.38067	-0.99007	-0.22377	-0.62517	-1.09457	-0.97277	-0.46087	-0.92337	0.06173	-0.73047	-0.68337	0.38323	-0.47747	-0.48917	-0.66957	-1.28897	0.14743	-1.27527	-0.58107	-0.73987	-0.67177	-1.11007	-0.50137	0.44803	-0.66067	-0.72127	0.03043	-0.86217	-0.52817	-0.20757	-0.20977	-0.43807	-0.48777	-0.27417	-0.50367	-0.10897	0.18923	-0.55267	-0.51217	-0.08037	-0.20397	0.19743	0.04763	0.41513	-0.24857	0.03243	0.93753	0.66293	1.23963	-0.48457	0.17923	-0.41927	-0.22567	1.68153	0.14693	1.26053	1.68683	1.61623	1.14323	-0.08897	1.42793	1.88603	0.89723	1.28513	1.68673	1.29643	1.83053	2.26963	2.21673	2.35873	3.12823	1.64963	0.54683	0.75823	0.71303	1.88253	0.75313	0.53133	0.86103	0.13843	0.67613	0.83543	0.48373	2.15093	1.26653	1.15043	0.98213	1.28783	1.76503	0.58653	0.59343	1.11243	-0.11527	-0.24967	-0.11027	-0.12717	-0.02477	-0.38517	-0.09697	0.18743	-0.01537	0.12823	0.75413	0.94613	1.31483	0.51783	1.52653	0.90383	0.97933	1.92183	1.69213	1.12283	2.09573	1.74033	1.52493	2.06223	1.41903	1.40923	0.68393	1.90833	1.67663	1.60223	1.97723	2.33033	1.12143	1.50593	-0.52457	-0.54197	-1.16537	-0.62207	-0.38127	-0.81357	-1.23907	-0.64657	-0.57027	-0.64667	-0.23427	2.28653	-0.32407	-0.51917	-0.26437	0.03233	-0.91097	-0.94367	-0.61367	-0.84747	-1.03117	-1.11777	-0.77117	0.86513	-1.02777	-0.72797	-1.04017	-0.91117	-1.25297	-0.91147	-0.45787	-0.32027	-0.36587	-0.88407	-0.87807	-1.00997	-1.25757	-0.23627	-0.88997	-0.82857	-1.42447	-1.60107	-0.83137	-1.57377	-0.93027	-0.47297	-0.35837	-1.58117	-0.95197	-0.89057	-0.80047	-1.20077	-0.62607	-0.18727	-0.97427	-0.96687	-0.52587	-0.95827	-0.94627
KIAA0930	0.49302	0.86612	0.31702	0.32372	-0.27848	-0.68858	0.26782	-0.19308	0.09972	0.38202	0.41282	0.25172	0.69752	0.34082	0.27612	0.61652	-0.79958	-1.03058	0.00022	-0.16438	-0.18098	0.10152	-0.82558	-0.28218	-0.52128	-0.66398	-0.28408	0.03792	-0.54718	0.37682	0.42092	0.26342	-0.41948	-0.09808	0.82312	0.09642	-0.21808	0.37882	-0.09188	0.37512	-0.05468	-0.19338	-0.86538	-0.26868	-0.67658	0.85022	0.36662	-0.27348	-0.46598	-1.09928	0.22762	-0.69408	-0.77508	0.91182	0.36662	-0.28818	-0.25798	0.80772	0.22072	1.41122	-0.20668	-0.37648	0.30832	-0.06838	-0.23228	0.21052	-0.51028	-0.08598	-0.09568	-0.09168	-0.21818	-0.67798	0.70472	0.31892	1.04652	-0.45688	-0.01738	-0.04838	-0.40358	0.15142	0.08332	0.66592	0.99932	1.53522	1.35032	0.64112	0.82292	1.75522	1.20552	0.86892	1.66092	1.23692	0.82312	1.66512	1.93952	1.43372	1.44812	0.68302	-0.32648	0.13562	0.30792	0.58802	0.56932	0.72592	0.69952	-0.57348	-0.25258	0.09872	0.09042	1.52082	0.96732	0.98732	0.88112	0.66262	1.26902	-0.10198	-0.31158	0.47072	-0.09128	-0.21208	-1.10678	-0.51898	0.03612	-0.72738	-0.33798	-0.30598	-1.21558	0.77792	-0.27178	-0.35788	0.49762	-0.56138	-0.14898	-0.15158	-0.01698	-0.17048	-0.40958	-0.44778	-0.22228	0.22902	-0.35378	-0.46348	-0.07488	-0.53478	0.90332	-0.44178	-0.42308	-0.48268	1.62772	1.37362	1.73262	0.56242	-0.55248	-1.00298	-0.55328	-0.42438	-0.78908	0.04942	-0.05618	-0.37228	0.60692	-0.38438	-0.44378	1.84342	-0.60918	-0.97038	-0.54878	0.67972	0.46272	-0.26248	-0.21828	-0.09598	-0.34678	-0.31478	-0.45638	-0.57348	-0.55258	-0.29648	-0.31188	0.02532	-0.43618	-0.46528	-0.71968	-0.12018	-0.53858	-0.32538	-0.59838	-0.59988	-0.54688	-0.65168	-0.42088	-0.69358	-0.36008	-0.84578	-0.89618	-0.77718	-0.51448	-0.88128	-0.80878	-0.49548	-0.73418	-0.88198	-0.98168	-0.77708	-0.59488	-0.78118	-0.82338	-0.58618	-0.29878	-0.91948	-0.80578
TBXAS1	0.25251	0.65201	1.00651	1.04251	0.58601	0.12451	0.28171	0.45791	0.34171	0.84561	0.39431	0.47001	1.04421	0.46481	-0.70149	-0.98709	-0.77129	-0.51639	0.53321	0.22231	0.27711	0.24941	-0.30029	0.35591	0.08041	-0.30759	0.12521	-0.02119	-0.70299	0.00251	-0.14919	0.26911	-0.29709	0.76471	-0.64579	1.22641	-0.09809	1.12261	1.64421	0.53781	0.01301	0.38031	-0.76589	0.06701	-1.12439	-0.52169	-0.46999	-0.49099	-0.19129	-0.81479	-0.33539	-0.08619	-0.64069	-0.69489	-0.11699	-0.73409	-0.73409	-1.04759	0.38921	0.18281	0.80051	0.25161	0.46011	0.47501	0.51851	1.04531	0.93101	2.11021	1.45711	0.14011	0.65971	0.33441	0.25511	-0.46499	1.42511	-0.12039	-0.62319	-0.70699	-0.60519	0.25071	0.23531	1.10651	2.23041	2.35061	2.29011	0.75641	1.50701	2.53511	2.05731	0.56271	1.08431	1.96911	1.22011	2.61011	2.53131	2.52331	2.40681	1.27121	-0.55689	-0.02769	-0.25379	0.31701	0.84951	-0.74119	-0.55379	-0.79789	-0.81129	0.09391	-0.49809	1.27931	0.52071	0.12541	0.11731	0.36011	-0.40329	-0.88479	-0.75549	0.15811	-0.00109	-0.81309	-0.69589	-0.62299	-0.10339	-0.84359	-0.47169	0.22741	-0.63059	0.42911	-0.67979	-0.65699	0.13301	-0.60499	-0.58599	-0.63059	-0.95249	-1.08059	-0.51399	-0.95329	0.01451	-0.43679	-0.28779	-0.75259	-0.46059	-0.59589	-0.25599	0.08861	-0.48699	-0.30469	1.92921	2.28021	1.58461	1.01381	0.09611	-0.39019	0.69271	0.33411	0.08031	-0.81079	-0.75619	-0.53379	-0.46409	-0.75259	-0.74599	2.47321	-0.79749	-0.90129	-0.69489	0.00521	-1.07829	-0.43859	-0.58849	-0.64619	-0.77339	-0.37649	-0.88349	-0.87569	-0.90409	-0.95489	-1.13239	-1.05399	-0.55429	-0.81739	-1.04529	-0.50779	-0.48789	-0.49319	-0.70289	-0.69059	-0.57769	-0.99709	-0.70719	-0.72269	-0.36839	-0.65859	-1.05419	-0.75409	-0.82419	-0.77809	-0.65689	-0.25789	-0.53019	-0.12819	-0.65959	-0.04369	-0.65869	-0.86999	-0.28009	-0.70329	-0.96179	-0.84399	-0.58939
SLC16A6	-2.64616	-1.64376	-1.68426	-1.92396	-2.07116	-0.24486	-1.84106	-1.59156	-1.46666	-1.85096	-1.11286	-1.79516	-2.02206	-2.86466	0.06914	-0.40776	1.40674	1.11544	-1.66336	-1.24446	-2.03106	-1.38526	0.26974	0.03364	-0.17126	-0.24706	-0.33136	-1.98426	0.07864	-1.48656	-0.48496	-1.08856	-1.25596	-1.87786	-1.58776	-0.72356	-0.30146	0.38154	-0.78026	-1.36476	-1.26956	-2.73346	-0.97066	-1.95306	-0.51116	-1.96016	-1.43746	-1.20486	-1.43276	0.83074	-1.51646	-0.87426	-0.11126	-1.70916	2.31464	-0.98716	-1.02606	-0.60376	-0.74716	-0.38036	0.36464	0.61764	0.43344	-0.19476	-0.38916	0.80894	0.97764	-1.40586	-0.21216	1.02914	0.77104	0.76754	1.21684	0.48244	1.10134	0.64524	-0.54416	-1.95186	-0.71136	-1.34646	0.62734	2.10874	2.36584	1.73894	2.08624	1.38394	1.86574	1.78824	1.68144	1.66144	1.19914	1.53314	1.81864	2.07584	1.56064	2.35534	1.44614	1.61474	0.91054	-0.76066	-0.02636	1.49544	1.39694	0.68504	0.48764	1.12554	0.95394	0.23504	-0.06656	0.93384	0.88844	0.81274	1.13884	0.60714	0.21534	0.86784	1.03404	0.10034	1.21654	0.48594	0.98024	1.80244	1.44034	0.37094	-0.12246	-0.34576	0.99384	0.79984	-1.83956	-0.90246	-2.29396	-0.93426	-0.98206	-1.12406	-0.90336	-0.79056	-0.09826	0.06694	-1.14546	-1.38866	-0.46066	0.04204	-0.59516	-1.26556	-2.62966	-0.46536	0.31204	0.52094	0.86654	0.84774	0.70794	1.34044	1.21434	1.19764	0.48364	1.04354	1.11814	0.46354	-0.04826	0.91584	-1.11586	0.46644	1.22244	1.44144	0.72694	0.80434	1.16234	1.62634	-0.45406	2.60264	-0.16836	-0.31646	-0.48566	-0.66756	-0.21336	0.43814	-0.31576	0.42684	0.29984	1.30114	0.60794	1.62344	0.51644	1.04184	0.91544	0.01514	0.71894	-0.22816	-0.15166	0.67184	-0.98616	-0.00976	-1.47876	-0.50696	-1.09626	-0.25766	-0.03986	0.00634	1.12674	-0.38516	-0.45806	0.41114	0.69984	-0.03796	1.08944	0.66434	-0.39546	-0.38626	-0.54296	0.53194	0.34084
SRGN	0.46029	0.13929	0.94309	0.12379	0.74339	-0.80221	-0.08131	-0.03891	0.57379	0.77879	0.56139	0.43749	0.16829	0.85219	1.27189	2.30769	0.14499	-0.22161	0.11269	0.68619	0.68609	0.91169	0.37949	0.37889	0.83579	0.69599	0.06719	1.03849	0.42309	0.16999	0.87849	0.02509	0.82009	1.08629	1.79849	1.62929	0.70929	1.18009	1.12519	1.97189	0.68579	-3.02751	-1.74601	-1.60581	-1.09701	-2.18941	-0.44361	-2.27891	-1.11991	-3.33861	-0.83891	-0.52551	-0.45791	-1.84571	-2.40791	-2.35591	-0.53071	-0.68791	0.64869	-0.33681	0.91049	0.12749	0.92399	0.58869	0.07509	0.84589	0.84569	1.59529	0.95359	0.43099	0.89589	-0.00711	1.27799	1.32669	0.95159	1.82959	-0.36051	0.35769	1.15709	1.02249	1.57369	1.00959	1.68689	1.45579	1.50619	1.39579	1.62589	1.54369	1.53519	1.62609	1.58239	1.20369	1.91679	2.04439	1.68169	1.85049	1.33269	1.30929	-0.00581	-0.06491	1.14089	1.44519	1.04959	0.23979	0.17839	-1.84981	-1.13771	1.30339	-0.35221	1.57029	1.02749	0.85419	1.41989	0.86789	1.25179	0.65299	0.04879	1.10229	-0.81571	-4.56601	-1.13891	-2.79851	1.03769	-4.34931	-3.75201	-3.46911	-1.74501	2.04319	-1.76441	-1.50181	-2.14871	-1.63581	-2.18221	-1.32841	-0.88851	-2.17031	-0.82691	-0.98971	-0.01081	-2.19391	-0.70291	-0.22511	-0.03591	-0.64591	-1.80511	-1.16901	-0.68381	-0.50961	0.25359	0.53509	0.70749	0.19259	0.65279	0.51159	1.19469	0.28839	0.23379	0.78469	0.82679	0.87139	1.48099	0.37049	-1.00041	1.62979	0.13799	-0.54411	-0.29301	0.87649	0.03129	0.87099	-1.86051	-1.80481	-0.68331	-0.29751	-0.72171	-0.81411	-1.43261	-0.11221	0.35159	0.73089	-0.18991	0.54849	-0.61541	-0.84301	-0.76831	0.21569	0.51029	0.41229	0.92929	-1.12011	-2.38971	-1.99411	-0.35091	-0.47861	-0.43971	0.13459	-2.10131	-0.88441	-2.27761	0.27169	0.39849	0.06339	0.34179	-0.45171	-2.28891	-1.68621	-0.15541	-0.04141	-0.31861	0.42449	-0.69621
GNS	-0.06341	0.14439	0.21719	-0.24971	-0.23271	-0.44291	-0.29331	-0.23421	0.12869	0.08659	0.33969	0.52069	0.19919	0.41309	-0.49651	0.44899	-1.69401	-0.56531	-0.40481	-0.03041	-0.14661	-0.17831	-1.20001	-0.28731	0.42439	-0.27851	-0.48001	0.03609	-1.31271	-0.29701	0.26649	-0.21441	-0.78731	0.38169	-0.54271	1.11299	-0.26001	0.93919	0.61579	1.09409	0.69299	1.37129	-0.03931	0.65529	-0.87841	0.38609	-0.13381	-0.38081	0.96839	-0.60311	0.82219	-0.22121	-0.54891	-1.03561	-1.85401	0.42609	0.48629	-1.66281	-0.27181	0.61839	-0.63211	-0.65371	0.58879	-0.37511	-0.48951	0.42079	-0.82811	0.19349	-0.38361	-0.22891	-0.47201	-0.51701	0.76529	1.05969	1.63369	0.61659	0.46509	0.89419	0.11519	0.60279	0.92179	1.43399	2.00569	2.00259	2.02549	1.29749	1.98379	2.28039	1.90799	1.49099	1.54969	0.74089	1.35199	2.26639	2.37619	2.20859	2.47509	1.33709	-0.51471	-0.00081	0.56389	0.95549	1.07139	-0.54471	0.35679	-2.18001	-0.93101	0.67929	-0.45561	1.41699	1.12059	0.87359	0.63039	0.67769	1.24539	-0.34171	-0.66191	0.88729	-2.18651	-1.08071	-0.90851	-2.92601	-0.41851	-1.42971	-2.33501	-1.79401	-2.20881	0.19769	-0.47701	-0.98281	-0.06751	-0.70191	-0.97841	-0.36181	-0.44001	-0.98931	-1.08111	-0.67711	0.01139	-0.70301	-0.56561	-0.83621	-1.49771	-0.33751	-0.45801	-0.68441	-0.75301	-0.52261	2.01939	2.24979	2.00889	1.57369	0.67399	0.86259	1.38269	0.27989	0.57269	-0.52821	-0.10371	0.16619	0.35259	-1.07901	-1.10341	2.40009	0.03729	-1.88961	-0.23831	0.64649	0.07469	0.86169	-0.30951	-0.68471	-0.16971	0.18919	-0.44191	-0.96951	-0.05951	-0.85121	-0.45091	-0.00971	-0.74171	-0.31661	-0.96781	-0.38611	-0.48571	0.13339	0.27439	0.14309	0.06129	-1.20431	-0.33621	-0.60831	-0.32081	-0.77451	-0.69741	-0.10231	-0.34681	-1.00951	-1.13851	-0.13031	-0.41271	-0.02801	-0.54831	0.05189	-0.99881	-0.96921	-0.41531	-0.55951	-0.72021	-0.41441	-0.05321
ZNF516	1.69726	0.70956	1.07966	1.34546	0.83966	-1.18244	0.98116	1.13276	0.88416	-0.73474	1.16966	1.09336	0.96256	1.32626	0.37066	0.45686	-1.78224	-1.95764	0.97676	1.09036	0.95396	1.24756	-0.18524	-0.20394	0.75316	0.02886	0.61716	0.96336	0.01656	0.74786	-1.01904	0.32526	0.49356	0.89206	-0.44064	1.03556	0.16156	0.59556	0.79516	1.36796	-1.08924	-1.85154	-2.27434	-1.97944	-1.65074	-1.61624	-1.85224	-2.00604	-1.67384	-1.96784	-1.89104	-1.22904	-2.03344	-1.95384	-1.15644	-1.81774	-0.27304	-1.54084	-0.61284	0.26826	-1.68644	-0.72024	0.70546	-0.11354	0.13276	0.41816	-1.13804	-1.61174	-0.56464	-0.38524	-0.36384	-0.34164	2.23226	0.80036	0.95806	0.79636	0.07496	0.52096	-1.03774	1.33896	0.41386	1.61696	2.34786	1.50546	1.81586	1.25526	1.61846	2.38336	1.39156	1.88026	2.20746	0.98816	1.53096	2.11176	2.65006	1.89006	1.70726	1.84036	-0.45984	-0.71924	0.54766	-0.02174	1.29806	-1.09504	0.28286	-1.24554	-0.06264	-0.02734	-0.71554	2.20396	1.06416	0.94086	1.14296	0.92866	0.85056	-0.91034	-0.95794	-0.45894	-1.37434	-0.57044	-0.64854	-2.44714	-0.26624	-1.68324	-1.46164	-1.26704	-1.86914	1.00476	1.46326	1.01676	2.56826	1.15536	1.12446	1.21116	1.06836	1.03146	-0.07834	0.62526	-0.69814	-1.33684	-0.76904	-1.97124	0.81246	-0.94514	-1.55454	-2.02814	-1.35644	-1.29234	0.66276	0.44406	1.27356	-0.55614	0.23416	0.31896	0.46356	0.28676	-1.34094	-1.35034	-1.19434	-1.19714	-0.44034	-1.36264	-1.39014	2.25316	-0.76394	-2.29134	-1.18534	0.39836	-2.00884	0.31076	1.57916	0.92776	1.29876	1.80476	1.51356	0.50326	0.97576	-1.51484	-0.91094	-0.75454	-1.08254	-1.85184	-1.13934	-1.33514	-1.39374	-0.56464	-1.04924	-0.68664	-1.44214	-1.11644	0.99646	0.77836	1.14206	1.41366	1.04036	1.35266	1.09356	-1.91854	-1.11764	-0.31934	-1.61504	0.36196	-0.90944	-0.10274	-1.06214	-0.78164	1.17636	-0.02054	-0.09054	0.40496	0.22806
PGD	1.36575	1.89665	1.92955	1.68965	0.99955	0.73235	1.57175	1.21365	2.02665	1.69115	2.13905	2.20475	1.83545	1.43425	0.68905	1.16695	-0.41985	-1.15595	1.73685	0.80215	1.27125	1.54135	0.44465	1.31125	1.68585	1.78965	1.41515	1.57595	0.06975	1.72445	-0.68155	2.24415	1.39175	2.87215	-0.30305	2.62565	0.41865	2.48635	2.37825	3.30035	2.12685	-1.54195	-1.54605	-0.47025	-1.68585	-1.03745	-0.53375	-2.42205	-1.88635	-1.68905	-0.60725	1.21495	-0.69165	0.91205	-1.72145	-0.92735	-0.57485	-1.74265	0.24985	-0.33515	0.55205	0.08055	1.00655	1.79825	0.90325	0.70795	1.39465	0.63275	0.20085	-0.14755	-0.43675	0.65365	0.40135	-1.34835	0.92925	1.01055	0.32745	0.52025	0.07835	1.30475	1.97175	1.66125	2.78735	2.61885	2.85895	1.10565	1.28895	2.27195	1.65805	2.53205	2.28835	1.00705	1.75915	3.41295	3.60145	3.64425	2.94405	2.35745	-0.93195	0.06725	1.54355	0.72165	1.35885	-0.99435	-1.47495	-1.30655	-1.18745	0.40355	-1.51755	1.79205	0.96795	0.73165	0.23935	0.16485	1.06985	-0.04615	-0.79985	1.30325	-1.01215	-1.56635	-0.65265	-1.28485	0.26955	-0.67585	-0.93995	0.21335	-0.42335	1.21715	-1.44595	-0.73885	-0.84775	-1.23235	-1.33555	-1.63735	-0.27225	-1.03265	-0.92105	-1.01145	-0.23765	-1.50425	-1.34555	-0.90945	-1.31545	-0.85765	-1.31245	-0.49055	-0.22285	-0.72045	-0.11005	0.64355	0.34495	-1.07435	-0.88445	-1.16495	0.00225	-1.40995	-1.25995	-1.25115	-0.89975	-1.65195	-1.57805	-0.89195	-1.44775	2.04925	-0.75725	-1.57375	-1.75915	0.10645	-1.22595	-0.27525	-1.22565	-1.59685	-1.01595	-0.28525	-1.38335	-0.70115	-0.06965	-1.44195	-1.82385	-1.19485	-1.41495	-0.92355	-1.68935	-1.50085	-1.02015	-0.99035	-1.17615	-1.57055	-2.15595	-1.59535	-1.15595	-1.53605	-2.12775	-1.27985	-2.03645	-1.02705	-0.98645	-1.77795	-1.71145	-1.25595	-1.50645	-1.38935	-1.20255	-0.78925	-1.73455	-1.62395	-1.58335	-1.34055	-1.89175	-0.71035	-0.88845
TIMP1	0.1912	0.8939	0.012	-0.4779	-0.3644	-0.8535	-0.0256	-0.7643	-0.4276	0.2523	0.2704	-0.2749	0.7019	-0.4322	0.7181	0.5728	-0.3656	-0.4493	-0.0601	-0.3323	-0.0956	0.3374	-0.7257	-0.4296	0.1407	0.0519	-0.1362	0.7918	-0.2219	-0.4036	-0.43	-0.1868	0.8739	1.3945	-0.1157	0.7404	0.0505	2.0294	1.3653	0.2539	0.4761	-0.1677	-0.7132	-0.551	-0.9423	0.3767	-0.9454	-0.9172	0.9177	-0.5955	0.4112	-0.7528	-0.7266	-0.6902	1.1764	-0.3561	-0.6292	-0.7733	-0.0259	-0.8685	1.8385	0.404	-0.2088	0.0553	0.3635	-0.1151	2.271	3.6352	1.8584	0.2073	-0.2145	0.3386	0.7347	-0.0241	1.057	0.1625	-0.0214	0.0561	-0.4432	-0.065	0.1384	0.9253	1.5559	1.9003	2.1756	0.9144	1.1895	1.9508	1.7536	0.8718	1.8051	1.8269	1.0179	2.6874	2.721	2.5037	2.7397	1.0739	-0.6016	-0.2568	-0.3902	0.5531	-0.0231	-1.1424	-0.535	-0.9847	-0.4899	-0.4037	-0.8189	1.9351	1.19	0.6328	0.6685	0.7494	-0.8638	-0.7335	-0.7143	-0.7246	-0.3047	-0.8982	-0.6425	-0.3084	0.2378	-0.807	-0.8302	-0.854	-0.6269	1.7216	-1.1286	-1.189	-1.2807	-0.9169	-0.9588	-1.1136	-0.7619	-1.599	-1.2827	-1.3342	-0.994	-0.9339	-1.1589	-1.1243	-0.8727	-1.0385	-0.9161	-1.3468	-1.0501	-0.9807	0.9426	1.243	1.1278	0.689	-0.2593	-1.033	0.7118	-1.0143	-1.0852	-0.8962	-1.0502	-0.6418	-0.9678	-0.4028	-0.2508	2.6873	-0.1434	0.0764	-0.3668	-0.396	-0.1009	-0.0972	-1.0355	-0.3569	-1.0881	-0.613	-0.9613	-0.1493	-0.649	-0.3934	-0.0106	-0.1073	-0.2446	-0.7424	-0.6467	-0.6491	-0.4876	-0.0231	0.0098	-0.4563	-0.4749	0.2867	-0.8894	-0.6232	-1.0853	-1.062	-1.1933	-0.2657	-0.4679	0.8366	-0.2616	0.3164	0.854	0.3501	0.919	1.03	-0.2374	-0.4505	0.1985	0.158	-0.0169	-0.0251	0.7691
VAMP3	0.54221	0.39101	0.28031	-0.00659	-0.13539	-0.44589	0.07551	-0.20509	0.15271	0.75111	0.06451	0.05651	0.52791	0.33141	0.18251	0.25411	-0.63969	-0.28489	-0.37139	-0.37819	-0.19449	0.55721	-0.33499	-0.26299	0.11751	-0.10499	-0.03009	0.47471	-0.47829	-0.33889	-0.52639	-0.14559	0.30271	0.80961	-0.11759	0.76391	-0.00759	0.65851	0.78881	0.46351	-0.07839	0.25791	-1.05679	-0.55789	-1.26189	-1.07369	0.10351	-1.11569	-1.46529	-0.51149	-1.33719	-0.34479	-0.27059	1.12671	-1.60349	-1.25499	-1.10509	-0.07989	-1.08479	0.02421	-0.56869	-0.20249	-0.05719	-0.16549	-0.31099	0.06091	-0.48709	0.10031	-0.04299	-0.20499	-0.01429	-0.03729	-0.80109	-0.31839	0.62481	-0.24119	-0.18359	0.22771	-0.56719	-0.00449	0.17261	0.63511	1.28481	1.16691	1.41711	0.46841	0.79071	1.79111	1.08811	0.66341	1.08811	0.69111	0.90841	1.86791	1.93891	1.69921	1.50741	0.35041	-0.52129	-0.33969	-0.25139	-0.00599	-0.15229	-0.51319	-0.29129	-0.55959	-0.62529	-0.17639	-0.59479	1.41871	0.92351	0.35861	0.78141	0.24691	0.43121	-0.49099	-1.45869	0.12751	0.12111	-0.70949	-0.61029	-0.43849	-0.13439	-0.51859	-0.58069	-0.61919	-0.60889	0.36151	-0.18009	-0.09989	0.59001	0.42211	0.49061	-0.06959	0.01101	-0.08399	0.41511	0.02491	0.03691	-0.75429	-0.44979	0.31311	-0.37259	-0.08979	0.00051	-0.04529	0.18331	0.03481	0.83741	1.02791	1.00531	0.24831	0.15411	0.11321	0.55491	-0.23649	-0.03849	-0.51059	-0.30959	-0.19459	0.11831	-0.54869	-0.16769	1.68281	-0.07029	-0.80159	-0.22509	0.33551	-0.05989	0.58491	-0.40399	-0.81549	-0.70109	-0.07569	0.09211	0.06431	-0.30339	-0.24239	-0.38789	0.33961	-0.06949	0.26051	-0.33389	-0.75339	-0.20879	0.09671	0.16431	-0.16319	0.43881	-0.58689	-0.49399	-0.60259	-0.37559	-0.15099	-0.36369	-0.11959	-0.23509	-0.37619	-0.15719	-0.00169	0.17681	0.03171	0.63891	0.02621	-0.25289	-0.56179	-0.13129	0.18761	0.19031	0.43741	0.09251
